filename,notes,authors,licenses,urls
"head/faces/${head}/neutral/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"shield/heater/original/wood/bg/walk.png","","bluecarrot16, Sander Frenken (castelonia), ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
"shield/heater/original/trim/fg/walk.png","","bluecarrot16, Sander Frenken (castelonia), ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
